name,lng,lat
辽宁.革镇堡站,121.5370397,39.01611691
辽宁.盖州站,122.4773268,40.23544147
辽宁.河北站,121.642766,42.005062
辽宁.海城站,122.748777,40.869469
辽宁.海丰站,121.920113,39.445043
辽宁.浑河站,123.38375,41.732699
东北.黄海站,122.986142,39.705369
辽宁.淮河站,120.156944,40.805682
辽宁.葫芦岛站,120.8607576,40.74302988
辽宁.宏亮站,121.816336,39.492977
辽宁.回龙水厂,122.691903,39.243906
辽宁.海派风电场,121.651796,38.933983
辽宁.红旗堡站,122.20104,40.201735
辽宁.桓仁站,125.2900279,41.26181588
辽宁.桓仁水厂,125.2900279,41.26181588
辽宁.虎石台站,123.5242519,41.95259513
辽宁.黑山站,122.2607359,41.79969789
辽宁.黄沙站,122.522787,41.216418
辽宁.红山风电场,119.611478,41.891405
辽宁.韩屯站,122.414975,39.624513
辽宁.海湾站,121.84104,39.067937
辽宁.红沿河站,121.574238,39.767219
辽宁.红沿河厂,121.574238,39.767219
辽宁.红阳热厂,123.227645,41.363448
辽宁.铧子站,123.460037,41.403624
辽宁.建昌站,119.8348915,40.71682771
辽宁.京诚站,122.210732,40.614898
辽宁.金山火厂,121.986995,39.408202
东北.金家站,121.140226,38.919614
辽宁.建平站,119.6325271,41.84222259
辽宁.锦州热厂,121.1477487,41.13087888
辽宁.金哨水厂,122.554004,39.576203
辽宁.锦西站,120.826566,40.762619
辽宁.锦州站,121.1477487,41.13087888
辽宁.锦州厂,121.1477487,41.13087888
辽宁.宽甸站,124.9341061,40.76614201
辽宁.奎德素站,119.498306,41.80328
辽宁.空港站,123.495967,41.796124
辽宁.孔家沟站,122.598978,40.72003
辽宁.康平厂,123.2735981,42.76554074
辽宁.开原站,124.283776,42.47122329
辽宁.喀左站,119.747414,41.133689
辽宁.龙城站,120.4013329,41.606227
辽宁.柳城站,120.426603,41.544783
辽宁.蓝东站,122.043938,40.145189
辽宁.辽电厂,123.421287,41.77962
辽宁.刘二堡站,122.8932809,41.66874277
辽宁.陆港站,123.446777,42.530752
辽宁.凌河站,121.1826645,41.1343804
辽宁.辽化厂,122.0183061,41.19902344
辽宁.凌海风电场,121.2855746,41.15256616
辽宁.六家子站,121.271673,41.575452
辽宁.兰家站,123.179907,41.206835
辽宁.龙康风电场,121.303001,38.849472
